pH,Crop,N,P,K
6,0,50,12,12
6.1,0,50,12,12
6.2,0,50,12,12
6.3,0,50,12,12
6.4,0,50,12,12
6.5,0,50,12,12
6.6,0,50,12,12
6.7,0,50,12,12
6.2,1,15,15,15
6.3,1,15,15,15
6.4,1,15,15,15
6.5,1,15,15,15
6.6,1,15,15,15
6.7,1,15,15,15
5,2,120,60,40
5.1,2,120,60,40
5.2,2,120,60,40
5.3,2,120,60,40
5.4,2,120,60,40
5.5,2,120,60,40
5.6,2,120,60,40
5.7,2,120,60,40
6.5,3,20,60,20
6.6,3,20,60,20
6.7,3,20,60,20
6.8,3,20,60,20
5.5,4,20,24,8
5.6,4,20,24,8
5.7,4,20,24,8
5.8,4,20,24,8
5.9,4,20,24,8
6,4,20,24,8
7.5,5,10,20,8
7.6,5,10,20,8
7.7,5,10,20,8
7.8,5,10,20,8
7.9,5,10,20,8
8,5,10,20,8
6.5,6,20,40,20
6.6,6,20,40,20
6.7,6,20,40,20
6.9,6,20,40,20
7.2,6,20,40,20
7.3,6,20,40,20
7.4,6,20,40,20
7.5,6,20,40,20
7.6,6,20,40,20
7.7,6,20,40,20
7.8,6,20,40,20
6.3,7,70,7,14
6.4,7,70,7,14
6.5,7,70,7,14
6.6,7,70,7,14
6.7,7,70,7,14
6.8,7,70,7,14
4.5,8,13,2,15
4.6,8,13,2,15
4.7,8,13,2,15
4.8,8,13,2,15
4.9,8,13,2,15
5,8,13,2,15
5.1,8,13,2,15
5.2,8,13,2,15
5.3,8,13,2,15
5.4,8,13,2,15
5.5,8,13,2,15
5.6,8,13,2,15
5.7,8,13,2,15
5.8,8,13,2,15
5.9,8,13,2,15
6,8,13,2,15
5.8,9,20,10,10
5.9,9,20,10,10
6,9,20,10,10
6.1,9,20,10,10
6.2,9,20,10,10
6.3,9,20,10,10
6.4,9,20,10,10
6.5,9,20,10,10
6.6,9,20,10,10
6.7,9,20,10,10
6.8,9,20,10,10
6.9,9,20,10,10
7,9,20,10,10
7.1,9,20,10,10
7.2,9,20,10,10
7.3,9,20,10,10
7.4,9,20,10,10
7.5,9,20,10,10
7.6,9,20,10,10
7.7,9,20,10,10
7.8,9,20,10,10
7.9,9,20,10,10
8,9,20,10,10
6,10,5,10,10
6.1,10,5,10,10
6.2,10,5,10,10
6.3,10,5,10,10
6.4,10,5,10,10
